wave,distance,routes,order_per_wave,robot
102,192,"[[37.75, 18.0], [22.75, 15.0], [22.75, 13.5], [22.75, 12.0], (0, 0), [20.75, 9.0], [20.75, 18.0], [24, 19.5], [24, 13.5], [42.25, 6.0], [37.75, 18.0]]",9,R3
103,136,"[[45.5, 22.5], (0, 0), [45.5, 22.5]]",9,R4
104,194,"[(0, 0), [20.75, 16.5], [20.75, 21.0], [24, 19.5], [24, 21.0], [26, 22.5], [41.0, 10.5], [50.75, 9.0], [26, 6.0], (0, 0)]",9,R5
105,282,"[[41.0, 10.5], [47.5, 9.0], [52.0, 13.5], [42.25, 15.0], [26, 22.5], [24, 19.5], [24, 9.0], [24, 6.0], [20.75, 10.5], [19.5, 12.0], (0, 0), [22.75, 12.0], [41.0, 10.5]]",9,R6
106,224,"[[26, 22.5], [26, 19.5], [20.75, 22.5], [20.75, 12.0], [20.75, 10.5], (0, 0), [22.75, 12.0], [24, 9.0], [24, 10.5], [24, 12.0], [26, 6.0], [37.75, 12.0], [42.25, 12.0], [26, 22.5]]",9,R7
107,224,"[[26, 6.0], [26, 10.5], [20.75, 12.0], (0, 0), [22.75, 12.0], [22.75, 13.5], [24, 15.0], [24, 13.5], [44.25, 21.0], [52.0, 13.5], [26, 6.0]]",9,R8
108,252,"[[26, 16.5], [26, 15.0], [26, 6.0], [24, 6.0], [24, 19.5], [22.75, 13.5], [19.5, 21.0], [20.75, 12.0], [20.75, 9.0], (0, 0), [47.5, 10.5], [47.5, 22.5], [37.75, 21.0], [28.0, 15.0], [26, 16.5]]",9,R9
109,287,"[[37.75, 12.0], [41.0, 10.5], [44.25, 10.5], [44.25, 21.0], [45.5, 15.0], [47.5, 16.5], [42.25, 16.5], [19.5, 21.0], [22.75, 13.5], (0, 0), [26, 10.5], [34.5, 6.0], [37.75, 12.0]]",9,R10
110,268,"[[37.75, 13.5], [34.5, 16.5], [24, 19.5], [24, 21.0], [19.5, 21.0], [22.75, 12.0], (0, 0), [20.75, 9.0], [47.5, 10.5], [44.25, 13.5], [44.25, 16.5], [44.25, 22.5], [42.25, 13.5], [37.75, 13.5]]",9,R1
111,206,"[[22.75, 6.0], [22.75, 13.5], [22.75, 21.0], [15.25, 21.0], [24, 19.5], [35.75, 21.0], [44.25, 22.5], [37.75, 9.0], (0, 0), [20.75, 12.0], [22.75, 6.0]]",9,R2
112,298,"[[22.75, 12.0], [24, 19.5], [24, 10.5], [26, 6.0], [26, 16.5], [26, 22.5], [31.25, 22.5], [35.75, 10.5], [39.0, 9.0], [48.75, 12.0], [29.25, 13.5], [19.5, 21.0], [20.75, 12.0], [20.75, 9.0], (0, 0), [22.75, 12.0]]",9,R3
113,254,"[[37.75, 21.0], [45.5, 21.0], [47.5, 16.5], [24, 16.5], [24, 9.0], [22.75, 13.5], [19.5, 21.0], [20.75, 13.5], (0, 0), [26, 10.5], [32.5, 12.0], [37.75, 21.0]]",9,R4
114,156,"[[20.75, 9.0], [19.5, 21.0], [24, 13.5], [26, 22.5], [34.5, 12.0], (0, 0), [20.75, 9.0]]",9,R5
115,74,"[[24, 13.5], (0, 0), [24, 13.5]]",9,R6
116,211,"[[15.25, 21.0], [19.5, 21.0], [20.75, 21.0], [22.75, 15.0], [22.75, 13.5], (0, 0), [26, 6.0], [28.0, 6.0], [39.0, 9.0], [41.0, 15.0], [15.25, 21.0]]",9,R7
117,209,"[[29.25, 10.5], [37.75, 9.0], [32.5, 19.5], [24, 19.5], [24, 18.0], [15.25, 21.0], [20.75, 18.0], [20.75, 15.0], [22.75, 13.5], [22.75, 6.0], (0, 0), [29.25, 10.5]]",9,R8
118,233,"[[39.0, 9.0], [41.0, 10.5], [37.75, 16.5], [26, 22.5], [22.75, 21.0], [20.75, 18.0], [20.75, 15.0], [15.25, 21.0], [24, 18.0], [24, 6.0], [22.75, 6.0], (0, 0), [39.0, 9.0]]",9,R9
119,155,"[(0, 0), [20.75, 18.0], [19.5, 21.0], [24, 21.0], [44.25, 9.0], (0, 0)]",9,R10
120,210,"[[20.75, 9.0], (0, 0), [22.75, 12.0], [22.75, 15.0], [19.5, 21.0], [28.0, 15.0], [32.5, 19.5], [35.75, 21.0], [37.75, 21.0], [42.25, 6.0], [20.75, 9.0]]",9,R1
121,288,"[[26, 22.5], [19.5, 21.0], [15.25, 21.0], [22.75, 21.0], [22.75, 13.5], [22.75, 12.0], [22.75, 10.5], [22.75, 6.0], [26, 6.0], [24, 6.0], [20.75, 9.0], (0, 0), [31.25, 6.0], [37.75, 13.5], [39.0, 18.0], [45.5, 22.5], [47.5, 22.5], [48.75, 12.0], [26, 22.5]]",9,R2
122,249,"[[24, 10.5], [24, 13.5], [24, 16.5], [29.25, 13.5], [32.5, 21.0], [35.75, 12.0], [39.0, 9.0], [41.0, 15.0], [15.25, 21.0], [22.75, 21.0], [22.75, 13.5], [22.75, 6.0], (0, 0), [24, 10.5]]",9,R3
123,232,"[[26, 10.5], [35.75, 12.0], [45.5, 19.5], [44.25, 22.5], [24, 21.0], [20.75, 15.0], [19.5, 21.0], [15.25, 12.0], (0, 0), [22.75, 10.5], [26, 10.5]]",9,R4
124,241,"[[44.25, 21.0], [37.75, 21.0], [31.25, 22.5], [31.25, 16.5], [24, 13.5], [19.5, 21.0], [20.75, 9.0], (0, 0), [34.5, 12.0], [52.0, 12.0], [44.25, 21.0]]",9,R5
125,104,"[(0, 0), [37.75, 15.0], (0, 0)]",9,R6
126,74,"[[22.75, 15.0], (0, 0), [22.75, 15.0]]",9,R7
127,48,"[[15.25, 9.0], (0, 0), [15.25, 9.0]]",9,R8
