wave,distance,routes,order_per_wave,robot
101,245,"[(0, 0), [19.5, 12.0], [20.75, 13.5], [20.75, 18.0], [22.75, 13.5], [41.0, 15.0], [41.0, 22.5], [47.5, 21.0], [47.5, 18.0], [44.25, 12.0], [42.25, 12.0], (0, 0)]",9,R2
102,192,"[(0, 0), [20.75, 9.0], [20.75, 18.0], [22.75, 15.0], [22.75, 13.5], [22.75, 12.0], [24, 13.5], [24, 19.5], [37.75, 18.0], [42.25, 6.0], (0, 0)]",9,R2
103,136,"[(0, 0), [45.5, 22.5], (0, 0)]",9,R2
104,194,"[(0, 0), [26, 6.0], [50.75, 9.0], [41.0, 10.5], [26, 22.5], [24, 21.0], [24, 19.5], [20.75, 21.0], [20.75, 16.5], (0, 0)]",9,R2
105,286,"[(0, 0), [19.5, 12.0], [20.75, 10.5], [24, 6.0], [24, 9.0], [24, 19.5], [22.75, 12.0], [26, 22.5], [42.25, 15.0], [52.0, 13.5], [47.5, 9.0], [41.0, 10.5], (0, 0)]",9,R2
106,227,"[(0, 0), [20.75, 10.5], [20.75, 12.0], [20.75, 22.5], [22.75, 12.0], [24, 10.5], [24, 12.0], [24, 9.0], [26, 6.0], [26, 19.5], [26, 22.5], [42.25, 12.0], [37.75, 12.0], (0, 0)]",9,R2
107,224,"[(0, 0), [20.75, 12.0], [26, 10.5], [26, 6.0], [52.0, 13.5], [44.25, 21.0], [24, 13.5], [24, 15.0], [22.75, 13.5], [22.75, 12.0], (0, 0)]",9,R2
108,252,"[(0, 0), [20.75, 9.0], [20.75, 12.0], [19.5, 21.0], [22.75, 13.5], [24, 19.5], [24, 6.0], [26, 6.0], [26, 15.0], [26, 16.5], [28.0, 15.0], [37.75, 21.0], [47.5, 22.5], [47.5, 10.5], (0, 0)]",9,R2
109,286,"[(0, 0), [26, 10.5], [34.5, 6.0], [37.75, 12.0], [41.0, 10.5], [44.25, 10.5], [44.25, 21.0], [47.5, 16.5], [45.5, 15.0], [42.25, 16.5], [19.5, 21.0], [22.75, 13.5], (0, 0)]",9,R2
110,268,"[(0, 0), [20.75, 9.0], [47.5, 10.5], [44.25, 13.5], [44.25, 16.5], [44.25, 22.5], [42.25, 13.5], [37.75, 13.5], [34.5, 16.5], [24, 19.5], [24, 21.0], [19.5, 21.0], [22.75, 12.0], (0, 0)]",9,R2
111,209,"[(0, 0), [15.25, 21.0], [20.75, 12.0], [22.75, 6.0], [22.75, 13.5], [22.75, 21.0], [24, 19.5], [35.75, 21.0], [44.25, 22.5], [37.75, 9.0], (0, 0)]",9,R2
112,294,"[(0, 0), [20.75, 9.0], [20.75, 12.0], [19.5, 21.0], [29.25, 13.5], [31.25, 22.5], [48.75, 12.0], [39.0, 9.0], [35.75, 10.5], [26, 6.0], [26, 16.5], [26, 22.5], [24, 19.5], [24, 10.5], [22.75, 12.0], (0, 0)]",9,R3
